"sample_id","device_timestamp_ns","x_mG","y_mG","z_mG"
"1363","599616095007529600","-3932","432","313"
"1364","599616095012408192","-3656","367","192"
"1365","599616095017286784","-3605","418","29"
"1366","599616095022165504","-3456","456","76"
"1367","599616095027044096","-3163","457","276"
"1368","599616095031922820","-2869","419","473"
"1369","599616095036802304","-2554","350","589"
"1370","599616095041681792","-2227","262","596"
"1371","599616095046561280","-1925","200","548"
"1372","599616095051440768","-1665","119","470"
"1373","599616095056320256","-1479","38","415"
"1374","599616095061199744","-1336","-12","343"
"1375","599616095066079232","-1236","-30","256"
"1376","599616095070958720","-1147","-38","155"
"1377","599616095075838208","-1035","-53","33"
"1378","599616095080717696","-876","-61","-55"
"1379","599616095085597184","-676","-62","-137"
"1380","599616095090476672","-496","-47","-176"
"1381","599616095095356160","-341","-40","-169"
"1382","599616095100235648","-193","-23","-200"
"1383","599616095105115136","-48","-18","-159"
"1384","599616095109994624","49","-7","-109"
"1385","599616095114874112","178","10","-108"
"1386","599616095119753600","283","10","-98"
"1387","599616095124633088","432","11","-125"
"1388","599616095129512576","540","17","-123"
"1389","599616095134392064","674","13","-111"
"1390","599616095139271552","760","25","-127"
"1391","599616095144151040","878","39","-134"
"1392","599616095149030528","984","53","-131"
"1393","599616095153910016","1060","78","-125"
"1394","599616095158789504","1118","86","-131"
"1395","599616095163668992","1103","88","-137"
"1396","599616095168548480","1002","86","-136"
"1397","599616095173427968","841","86","-135"
"1398","599616095178307456","666","84","-133"
"1399","599616095183186944","517","72","-124"
"1400","599616095188066432","433","46","-96"
"1401","599616095192945920","349","12","-54"
"1402","599616095197825408","260","-10","-25"
"1403","599616095202704896","199","-24","-1"
"1404","599616095207584438","117","-35","32"
"1405","599616095212465536","32","-50","55"
"1406","599616095217346688","-41","-76","71"
"1407","599616095222227968","-149","-87","84"
"1408","599616095227109120","-250","-90","85"
"1409","599616095231990272","-363","-84","72"
"1410","599616095236871424","-462","-61","40"
"1411","599616095241752704","-519","-39","12"
"1412","599616095246633856","-584","-13","-7"
"1413","599616095251515008","-615","37","-21"
"1414","599616095256396160","-619","89","-37"
"1415","599616095261277440","-618","136","-54"
"1416","599616095266158592","-607","191","-50"
"1417","599616095271039744","-551","209","-40"
"1418","599616095275920896","-489","214","-27"
"1419","599616095280802176","-406","211","-18"
"1420","599616095285683328","-288","202","8"
"1421","599616095290564480","-190","186","45"
"1422","599616095295445632","-96","160","73"
"1423","599616095300326912","-24","116","90"
"1424","599616095305208064","11","89","96"
"1425","599616095310089216","46","65","103"
"1426","599616095314970368","89","27","100"
"1427","599616095319851648","114","9","98"
"1428","599616095324732800","117","-6","90"
"1429","599616095329613952","117","-15","49"
"1430","599616095334495104","93","-26","17"
"1431","599616095339376384","33","-49","56"
"1432","599616095344257536","3","-73","142"
"1433","599616095349138688","-31","-41","275"
"1434","599616095354019840","-137","27","434"
"1435","599616095358901120","-341","128","549"
"1436","599616095363782272","-659","241","716"
"1437","599616095368663424","-1165","411","910"
"1438","599616095373544576","-2008","729","1118"
"1439","599616095378425856","-3581","1447","1508"
"1440","599616095383307066","-7028","2550","1109"
"1441","599616095388184832","-7993","1854","-1101"
"1442","599616095393062656","-6800","233","-2179"
"1443","599616095397940480","-3582","-745","-253"
"1444","599616095402818176","-2425","-525","518"
"1445","599616095407696000","-2970","-200","747"
"1446","599616095412573824","-4510","13","545"
"1447","599616095417451648","-4922","272","474"
"1448","599616095422329344","-4182","362","766"
"1449","599616095427207168","-3690","352","716"
"1450","599616095432084992","-3624","412","351"
"1451","599616095436962816","-3547","489","116"
"1452","599616095441840512","-3234","508","201"
"1453","599616095446718336","-2853","456","432"
"1454","599616095451596160","-2543","384","611"
"1455","599616095456473984","-2311","301","717"
"1456","599616095461351680","-2073","222","714"
"1457","599616095466229504","-1852","162","588"
"1458","599616095471107328","-1647","89","419"
"1459","599616095475985152","-1488","21","232"
"1460","599616095480862848","-1325","-21","69"
"1461","599616095485740672","-1173","-51","-21"
"1462","599616095490618496","-1020","-101","-62"
"1463","599616095495496320","-878","-139","-88"
"1464","599616095500374144","-707","-139","-85"
"1465","599616095505251840","-544","-105","-74"
"1466","599616095510129664","-421","-63","-28"
"1467","599616095515007488","-286","-33","18"
"1468","599616095519885312","-210","-17","57"
"1469","599616095524763008","-180","2","96"
"1470","599616095529640832","-141","37","60"
"1471","599616095534518656","-9","46","44"
"1472","599616095539396480","52","62","18"
"1473","599616095544274176","177","74","-25"
"1474","599616095549152000","303","81","-72"
"1475","599616095554029824","421","94","-134"
"1476","599616095558907634","520","103","-140"
"1477","599616095563782912","636","131","-148"
"1478","599616095568658176","743","154","-144"
"1479","599616095573533440","814","173","-127"
"1480","599616095578408704","876","187","-122"
"1481","599616095583283968","887","194","-84"
"1482","599616095588159104","883","188","-74"
"1483","599616095593034368","817","172","-80"
"1484","599616095597909632","738","148","-76"
"1485","599616095602784896","625","109","-76"
"1486","599616095607660160","507","86","-78"
"1487","599616095612535424","425","64","-60"
"1488","599616095617410688","331","20","-33"
"1489","599616095622285952","235","-15","-12"
"1490","599616095627161216","148","-31","24"
"1491","599616095632036480","63","-48","62"
"1492","599616095636911616","-4","-75","78"
"1493","599616095641786880","-77","-89","80"
"1494","599616095646662144","-160","-109","62"
"1495","599616095651537408","-236","-105","40"
"1496","599616095656412672","-297","-97","11"
"1497","599616095661287936","-375","-82","-4"
"1498","599616095666163200","-431","-63","-19"
"1499","599616095671038464","-480","-40","-30"
"1500","599616095675913728","-495","-25","-35"
"1501","599616095680788992","-507","-2","-50"
"1502","599616095685664128","-509","40","-63"
"1503","599616095690539392","-501","85","-66"
"1504","599616095695414656","-490","127","-73"
"1505","599616095700289920","-452","175","-78"
"1506","599616095705165184","-383","197","-69"
"1507","599616095710040448","-289","208","-63"
"1508","599616095714915712","-223","209","-48"
"1509","599616095719790976","-139","206","-39"
"1510","599616095724666240","-65","202","-36"
"1511","599616095729541376","-7","191","-39"
"1512","599616095734416658","22","177","-49"
"1513","599616095739294464","56","165","-77"
"1514","599616095744172288","96","144","-128"
"1515","599616095749050112","106","103","-193"
"1516","599616095753927808","79","65","-242"
"1517","599616095758805632","30","9","-250"
"1518","599616095763683456","-10","-28","-203"
"1519","599616095768561280","-54","-50","-66"
"1520","599616095773438976","-126","-64","132"
"1521","599616095778316800","-258","-46","348"
"1522","599616095783194624","-504","5","481"
"1523","599616095788072448","-911","117","522"
"1524","599616095792950144","-1559","331","639"
"1525","599616095797827968","-2694","901","974"
"1526","599616095802705792","-5762","2077","1748"
"1527","599616095807583616","-7993","1994","16"
"1528","599616095812461312","-7174","850","-3058"
"1529","599616095817339136","-3553","468","-787"
"1530","599616095822216960","-2038","158","229"
"1531","599616095827094784","-2555","66","654"
"1532","599616095831972480","-3923","-17","499"
"1533","599616095836850304","-5496","130","-431"
"1534","599616095841728128","-5490","408","-475"
"1535","599616095846605952","-4235","471","193"
"1536","599616095851483776","-3555","462","449"
"1537","599616095856361472","-3507","475","237"
"1538","599616095861239296","-3536","540","49"
"1539","599616095866117120","-3386","531","128"
"1540","599616095870994944","-3038","453","328"
"1541","599616095875872640","-2698","368","443"
"1542","599616095880750464","-2436","281","465"
"1543","599616095885628288","-2223","212","463"
"1544","599616095890506112","-2046","148","450"
"1545","599616095895383808","-1901","91","395"
"1546","599616095900261632","-1752","73","313"
"1547","599616095905139456","-1618","53","187"
"1548","599616095910017224","-1501","54","33"
"1549","599616095914891648","-1348","61","-75"
"1550","599616095919766016","-1187","70","-155"
"1551","599616095924640512","-985","69","-163"
"1552","599616095929514880","-796","74","-125"
"1553","599616095934389248","-572","82","-83"
"1554","599616095939263616","-423","92","-39"
"1555","599616095944138112","-262","107","-18"
"1556","599616095949012480","-143","117","10"
"1557","599616095953886848","-16","122","11"
"1558","599616095958761216","84","150","-21"
"1559","599616095963635712","233","152","-62"
"1560","599616095968510080","364","153","-97"
"1561","599616095973384448","489","129","-134"
"1562","599616095978258944","602","110","-140"
"1563","599616095983133312","699","87","-132"
"1564","599616095988007680","755","88","-144"
"1565","599616095992882048","793","85","-148"
"1566","599616095997756544","838","79","-146"
"1567","599616096002630912","832","66","-147"
"1568","599616096007505280","813","41","-140"
"1569","599616096012379648","776","22","-135"
"1570","599616096017254144","733","-3","-122"
"1571","599616096022128512","632","-23","-107"
"1572","599616096027002880","524","-33","-84"
"1573","599616096031877376","453","-46","-81"
"1574","599616096036751744","361","-67","-73"
"1575","599616096041626112","273","-87","-55"
"1576","599616096046500480","222","-112","-33"
"1577","599616096051374976","155","-135","-11"
"1578","599616096056249344","99","-141","7"
"1579","599616096061123712","34","-144","36"
"1580","599616096065998080","-6","-144","52"
"1581","599616096070872576","-72","-129","59"
"1582","599616096075746944","-141","-97","69"
"1583","599616096080621312","-225","-67","58"
"1584","599616096085495720","-292","-36","45"
"1585","599616096090374272","-377","-19","27"
"1586","599616096095252864","-441","16","12"
"1587","599616096100131584","-487","65","9"
"1588","599616096105010176","-503","95","20"
"1589","599616096109888896","-536","156","32"
"1590","599616096114767488","-554","201","29"
"1591","599616096119646080","-556","223","12"
"1592","599616096124524800","-531","252","-4"
"1593","599616096129403392","-489","268","-13"
"1594","599616096134281984","-413","270","-21"
"1595","599616096139160704","-298","248","-27"
"1596","599616096144039296","-203","219","-23"
"1597","599616096148918016","-93","202","-21"
"1598","599616096153796608","-12","169","-21"
"1599","599616096158675200","33","118","-14"
"1600","599616096163553920","92","91","0"
"1601","599616096168432512","121","78","14"
"1602","599616096173311232","147","59","9"
"1603","599616096178189824","152","36","-19"
"1604","599616096183068416","124","8","-74"
"1605","599616096187947136","83","-28","-123"
"1606","599616096192825728","26","-64","-74"
"1607","599616096197704448","-1","-84","106"
"1608","599616096202583040","-69","-43","352"
"1609","599616096207461632","-267","12","551"
"1610","599616096212340352","-566","121","756"
"1611","599616096217218944","-1010","229","913"
"1612","599616096222097664","-1690","400","1032"
"1613","599616096226976256","-3006","865","1327"
"1614","599616096231854848","-5854","1794","1266"
"1615","599616096236733568","-7993","2220","77"
