"sample_id","device_timestamp_ns","voltage_uV"
"1187","599616096668750336","-154"
"1188","599616096676443776","-57"
"1189","599616096684137216","94"
"1190","599616096691830784","166"
"1191","599616096699524224","139"
"1192","599616096707217664","110"
"1193","599616096714911104","154"
"1194","599616096722604544","159"
"1195","599616096730298112","67"
"1196","599616096737991552","0"
"1197","599616096745684992","-12"
"1198","599616096753378432","-4"
"1199","599616096761071872","4"
"1200","599616096768765312","16"
"1201","599616096776458880","43"
"1202","599616096784152320","41"
"1203","599616096791845760","24"
"1204","599616096799539200","21"
"1205","599616096807232640","24"
"1206","599616096814926080","24"
"1207","599616096822619648","21"
"1208","599616096830313088","19"
"1209","599616096838006528","24"
"1210","599616096845699968","-7"
"1211","599616096853393408","-53"
"1212","599616096861086976","-67"
"1213","599616096868780416","-89"
"1214","599616096876473856","-130"
"1215","599616096884167296","-166"
"1216","599616096891860736","-202"
"1217","599616096899554176","-221"
"1218","599616096907247744","-214"
"1219","599616096914941184","-224"
"1220","599616096922634624","-226"
"1221","599616096930328064","-212"
"1222","599616096938021504","-229"
"1223","599616096945714944","-255"
"1224","599616096953408512","-250"
"1225","599616096961101952","-214"
"1226","599616096968795392","-193"
"1227","599616096976488832","-207"
"1228","599616096984182272","-236"
"1229","599616096991875712","-231"
"1230","599616096999569280","-178"
"1231","599616097007262720","-156"
"1232","599616097014956160","-178"
"1233","599616097022649600","-147"
"1234","599616097030343040","-118"
"1235","599616097038036608","-137"
"1236","599616097045730048","-115"
"1237","599616097053423488","-84"
"1238","599616097061116928","-118"
"1239","599616097068810368","-130"
"1240","599616097076503808","-89"
"1241","599616097084197298","-55"
"1242","599616097091890816","9"
"1243","599616097099584384","67"
"1244","599616097107277824","-2"
"1245","599616097114971392","-4"
"1246","599616097122664960","275"
"1247","599616097130358528","608"
"1248","599616097138051968","649"
"1249","599616097145745536","291"
"1250","599616097153439104","-67"
"1251","599616097161132544","-127"
"1252","599616097168826112","-152"
"1253","599616097176519680","-221"
"1254","599616097184213248","-207"
"1255","599616097191906688","-173"
"1256","599616097199600256","-166"
"1257","599616097207293824","-176"
"1258","599616097214987392","-190"
"1259","599616097222680832","-185"
"1260","599616097230374400","-176"
"1261","599616097238067968","-185"
"1262","599616097245761408","-200"
"1263","599616097253454976","-197"
"1264","599616097261148544","-205"
"1265","599616097268842112","-207"
"1266","599616097276535552","-188"
"1267","599616097284229120","-168"
"1268","599616097291922688","-166"
"1269","599616097299616128","-156"
"1270","599616097307309696","-144"
"1271","599616097315003264","-127"
"1272","599616097322696832","-115"
"1273","599616097330390272","-91"
"1274","599616097338083840","-72"
"1275","599616097345777408","-91"
"1276","599616097353470848","-113"
"1277","599616097361164416","-113"
"1278","599616097368857984","-108"
"1279","599616097376551552","-120"
"1280","599616097384244992","-164"
"1281","599616097391938560","-219"
"1282","599616097399632128","-250"
"1283","599616097407325568","-296"
"1284","599616097415019136","-354"
"1285","599616097422712704","-332"
"1286","599616097430406272","-277"
"1287","599616097438099712","-282"
"1288","599616097445793280","-301"
"1289","599616097453486848","-267"
"1290","599616097461180416","-205"
"1291","599616097468873856","-161"
"1292","599616097476567424","-149"
"1293","599616097484260992","-152"
"1294","599616097491954432","-144"
"1295","599616097499648000","-103"
"1296","599616097507341568","-41"
"1297","599616097515035136","-4"
"1298","599616097522728576","-9"
"1299","599616097530422144","-7"
"1300","599616097538115712","21"
"1301","599616097545809152","21"
"1302","599616097553502720","-12"
"1303","599616097561196288","-55"
"1304","599616097568889856","-69"
"1305","599616097576583296","-69"
"1306","599616097584276864","-98"
"1307","599616097591970432","-103"
"1308","599616097599663872","-101"
"1309","599616097607357440","-135"
"1310","599616097615051008","-152"
"1311","599616097622744576","-164"
"1312","599616097630438016","-241"
"1313","599616097638131584","-304"
"1314","599616097645825138","-197"
"1315","599616097653518720","77"
"1316","599616097661212288","398"
"1317","599616097668905728","492"
"1318","599616097676599296","130"
"1319","599616097684292864","-299"
"1320","599616097691986432","-374"
"1321","599616097699679872","-332"
"1322","599616097707373440","-352"
"1323","599616097715067008","-323"
"1324","599616097722760448","-277"
"1325","599616097730454016","-284"
"1326","599616097738147584","-277"
"1327","599616097745841152","-221"
"1328","599616097753534592","-207"
"1329","599616097761228160","-221"
"1330","599616097768921728","-221"
"1331","599616097776615296","-207"
"1332","599616097784308736","-173"
"1333","599616097792002304","-154"
"1334","599616097799695872","-154"
"1335","599616097807389312","-118"
"1336","599616097815082880","-98"
"1337","599616097822776448","-130"
"1338","599616097830470016","-115"
"1339","599616097838163456","-43"
"1340","599616097845857024","-9"
"1341","599616097853550592","-45"
"1342","599616097861244032","-79"
"1343","599616097868937600","-33"
"1344","599616097876631168","53"
"1345","599616097884324736","65"
"1346","599616097892018176","31"
"1347","599616097899711744","38"
"1348","599616097907405312","84"
"1349","599616097915098752","159"
"1350","599616097922792320","234"
